小規劃統計區－大合併組,小規劃統計區－大合併組（英文名稱),小規劃統計區－大合併組（中文名稱),總人口,男性,女性,性別比率（即男性數目與每千名女性相對的比率）,15歲以下,15至24歲,25至44歲,45至64歲,65歲及以上,男女合計,男性.1,女性.1,香港,中國內地／澳門／台灣,其他地方,華人,菲律賓人,印尼人,白人,其他(1),從未結婚,已婚,喪偶,離婚,分居,從未結婚.1,已婚.1,喪偶.1,離婚.1,分居.1,廣州話,普通話,其他中國方言,英語,其他語言,能閱讀中文的5歲及以上人口比例,能閱讀英文的5歲及以上人口比例,能書寫中文的5歲及以上人口比例,能書寫英文的5歲及以上人口比例,未受教育／學前教育,小學,初中,高中,專上教育：文憑／證書,專上教育：副學位課程,專上教育：學位課程,同區就讀(3),跨區就讀（上課地點為香港島）,跨區就讀（上課地點為九龍）,跨區就讀（上課地點為新市鎮）,跨區就讀（上課地點為新界其他地區）,勞動人口,男性.2,女性.2,男女合計.1,男性.3,女性.3,工作人口,僱員（包括外發工）,僱主,自營作業者,無酬家庭從業員,非工作人口,料理家務者,學生,退休人士,無酬照顧者(6),其他,同區工作(7),跨區工作（工作地點為香港島）,跨區工作（工作地點為九龍）,跨區工作（工作地點為新市鎮）,跨區工作（工作地點為新界其他地區）,無固定地點／水上,於家中工作,香港以外地方工作,"少於 6,000","6,000 - 9,999","10,000 - 19,999","20,000 - 29,999","30,000 - 39,999","40,000 - 59,999","60,000 及以上",男女合計.2,男性.4,女性.4,"少於 6,000.1","6,000 - 9,999.1","10,000 - 19,999.1","20,000 - 29,999.1","30,000 - 39,999.1","40,000 - 59,999.1","60,000 及以上.1",男女合計.3,男性.5,女性.5,經理,專業人員,輔助專業人員,文書支援人員,服務及銷售人員,工藝及有關人員,機台及機器操作員及裝配員,非技術工人,漁農業熟練工人及不能分類的職業,製造業,建造業,進出口、批發及零售業,運輸、倉庫、郵政及速遞服務業,住宿及膳食服務業,資訊及通訊業,金融及保險業,地產、專業及商用服務業,公共行政、教育、人類醫療保健及社工活動,雜項社會及個人服務,其他(10),少於 18,18-34,35-44,45-54,55-64,65 及以上,家庭住戶數目,1,2,3,4,5,6 及以上,家庭住戶平均人數,由夫婦所組成(11),由夫婦及未婚子女所組成(12),由父或母親及未婚子女所組成(13),由夫婦及其中至少一個父或母親所組成(14),由夫婦、其中至少一個父或母親及其未婚子女所組成(15),由其他親屬關係組合所組成(16),單人住戶(17),非親屬關係住戶(18),"少於 6,000.2","6,000 - 9,999.2","10,000 - 19,999.2","20,000 - 29,999.2","30,000 - 39,999.2","40,000 - 59,999.2","60,000 及以上.2",家庭住戶每月收入（港元）中位數,"少於 6,000.3","6,000 - 9,999.3","10,000 - 19,999.3","20,000 - 29,999.3","30,000 - 39,999.3","40,000 - 59,999.3","60,000 及以上.3",從事經濟活動的家庭住戶(19)每月收入中位數（港元）,公營租住房屋,資助自置居所房屋,私人永久性房屋,非住宅用房屋,臨時房屋,公營租住房屋.1,資助自置居所房屋.1,私人永久性房屋.1,非住宅用房屋.1,臨時房屋.1,公營租住房屋.2,資助自置居所房屋.2,私人永久性房屋.2,非住宅用房屋.2,臨時房屋.2,1.1,2.1,3.1,4.1,5.1,6及以上,沒有自用廳房,自置，有按揭供款或借貸還款,自置，沒有按揭供款及借貸還款,全租,合租／二房東／三房客,免交租金,由僱主提供,由非住戶成員支付,"1 - 3,999","4,000 - 5,999","6,000 - 7,999","8,000 - 9,999","10,000 - 19,999.4","20,000 及以上",家庭住戶每月按揭供款及借貸還款（港元）中位數,家庭住戶每月按揭供款及借貸還款與收入比率中位數,"少於 2,000(20)","2,000 - 5,999","6,000 - 9,999.4","10,000 及以上",家庭住戶每月租金（港元）中位數,家庭住戶每月租金與收入比率中位數,家庭住戶的居所樓面面積中位數（平方米）(21),香港島,九龍,新市鎮,新界其他地區／水上,曾在同區遷居,仍居舊址(23),居於香港以外地方
ltpug,ltpug_eng,ltpug_chi,t_pop,pop_m,pop_f,sr,age_1,age_2,age_3,age_4,age_5,t_ma,ma_m,ma_f,born_hk,born_chi,born_else,ethn_chi,ethn_phi,ethn_ind,ethn_wh,ethn_oth,ms_nm_m,ms_ma_m,ms_win_m,ms_div_m,ms_sep_m,ms_nm_f,ms_m_f,ms_win_f,ms_div_f,ms_sep_f,ul_can,ul_put,ul_othchi,ul_eng,ul_oth,readchi_ablepctn,readeng_ablepctn,writechi_ablepctn,writeeng_ablepctn,edu_prepri,edu_pri,edu_lsed,edu_usec,edu_dip,edu_sub,edu_deg,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,s_diff_oth,t_lf,lf_m,lf_f,lfpr_t,lfpr_m,lfpr_f,t_wp,wp_ee,wp_er,wp_se,wp_fw,t_nwp,nwp_hm,nwp_st,nwp_re,nwp_care,nwp_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth,plw_nofix,plw_hm,plw_out,mearn_xfdh_1,mearn_xfdh_2,mearn_xfdh_3,mearn_xfdh_4,mearn_xfdh_5,mearn_xfdh_6,mearn_xfdh_7,t_mmearn,mmearn_m,mmearn_f,mearn_xfdhfw_1,mearn_xfdhfw_2,mearn_xfdhfw_3,mearn_xfdhfw_4,mearn_xfdhfw_5,mearn_xfdhfw_6,mearn_xfdhfw_7,t_mmearn_xfdh,mmearn_xfdh_m,mmearn_xfdh_f,wp_a,wp_b,wp_c,wp_d,wp_e,wp_f,wp_g,wp_h,wp_i,wp_j,wp_k,wp_l,wp_m,wp_n,wp_o,wp_p,wp_q,wp_r,wp_s,wp_t,whr_1,whr_2,whr_3,whr_4,whr_5,whr_6,dh,dhz_1,dhz_2,dhz_3,dhz_4,dhz_5,dhz_6,adhz,dhc_1,dhc_2,dhc_3,dhc_4,dhc_5,dhc_6,dhc_7,dhc_8,dhi_1,dhi_2,dhi_3,dhi_4,dhi_5,dhi_6,dhi_7,ma_hh,dhi_e1,dhi_e2,dhi_e3,dhi_e4,dhi_e5,dhi_e6,dhi_e7,ma_econhh,oq_pub,oq_s,oq_pri,oq_non,oq_tem,dh_pub,dh_s,dh_pri,dh_non,dh_tem,pop_pub,pop_s,pop_pri,pop_non,pop_tem,dh_r1,dh_r2,dh_r3,dh_r4,dh_r5,dh_r6,dh_r0,dh_ocm,dh_ocwm,dh_st,dh_co,dh_rf,dh_emp,dhm_1,dhm_2,dhm_3,dhm_4,dhm_5,dhm_6,dhm_7,dhm_loan,dhm_lr,dhr_1,dhr_2,dhr_3,dhr_4,dm_r,dmr_ir,fa_m,pm_hk,pm_kln,pm_nt,pm_oth,pm_samearea,pm_same,pm_out
111,111,111,60366,26833,33533,800,6863,4403,18858,18725,11517,45.1,46.1,44.4,36162,16228,7976,52067,2909,1445,1325,2620,6766,14786,694,879,66,8919,17011,2513,1549,320,46684,2987,1359,5879,1562,84.7,77.8,82.9,75.1,1781,5581,6440,15083,3260,2353,19005,5072,2269,820,341,152,34591,15907,18684,64.7,68.6,61.6,33326,30082,944,2139,161,27040,2540,8420,10011,1093,4976,11309,7459,4409,1444,429,3202,4551,523,4963,1329,8850,5244,3288,3665,5826,20000,24500,18000,1463,1155,8848,5244,3288,3665,5826,23750,24500,23000,4950,6397,6665,3916,4114,928,938,5418,-,569,1523,4252,1751,1553,1346,4977,6445,6038,4764,108,1923,2981,11696,10462,3961,2303,22668,5632,6641,4357,3815,1713,510,2.6,4281,7272,1944,276,565,1724,5632,974,2210,1443,2676,2663,2139,3691,7846,40480,246,388,1901,2422,2054,3482,7703,50820,2867,-,19635,598,13,2867,-,19565,223,13,8194,-,51013,1146,13,1429,3646,10455,4731,1776,628,3,4080,8305,9064,14,909,296,364,138,201,311,311,1485,1270,15500,20,1410,2148,576,5240,12000,23.5,40,1539,1253,1356,267,4824,44296,4956
112L,112 and 115,112 及 115,52186,21808,30378,718,4337,4201,17306,14963,11379,45.3,47,44.2,27345,17490,7351,44600,2271,898,1887,2530,6070,12442,506,552,88,10718,13573,2430,1268,202,38242,3744,2287,4735,1940,84,75.7,81.8,73.3,2012,5030,5897,12252,2944,2024,17690,4327,1270,789,333,97,30249,12912,17337,63.2,65.7,61.5,28892,26409,777,1615,91,23294,2093,6148,9758,838,4457,10344,6076,4252,1475,445,3241,2519,540,3323,1486,8674,4345,3249,3109,4615,20000,23000,18500,1177,1403,8674,4345,3249,3109,4615,21290,23000,20000,3854,5255,6621,3605,3916,666,930,4019,26,429,1224,4495,1671,1419,1071,4677,5170,5651,2968,117,1914,2772,10944,8463,3060,1739,21687,6933,6620,4014,2861,834,425,2.3,3472,5285,1722,309,516,1870,6933,1580,2466,1267,3092,2744,2903,3236,5979,34040,463,389,2369,2578,2861,3151,5933,40040,-,-,21531,246,7,-,-,21442,238,7,-,-,51688,491,7,1599,5300,10394,3296,865,197,36,2925,9041,8751,92,730,148,414,110,195,264,286,1098,558,13000,23.8,199,1692,1320,5780,13000,29.7,34,1542,1220,1319,429,5214,34816,6429
113L,113 - 114,113 - 114,30816,13360,17456,765,2560,1949,10962,9056,6289,44.9,45.2,44.7,16038,7971,6807,23977,1411,746,2815,1867,4348,7215,199,328,40,5731,8217,1470,591,117,21648,1647,536,4854,1362,79.3,81.5,76,78.9,967,2353,3014,6911,2036,1514,11461,2210,772,431,222,52,18544,8300,10244,65.6,68.4,63.5,17756,15547,794,1267,148,13060,1257,3561,5016,313,2913,6561,3772,2315,809,242,1483,2171,403,2358,563,3619,2681,2118,2101,4168,26500,34000,22200,784,431,3619,2681,2118,2101,4168,30000,34000,28750,3231,3626,3844,2040,1846,309,205,2652,3,216,637,2897,771,722,817,3018,3442,2888,2293,55,1422,1680,7034,4344,2293,983,13652,5257,3837,2304,1491,614,149,2.2,2687,3043,928,155,207,744,5257,631,1752,617,1613,1418,1233,1869,5150,41540,377,212,1235,1345,1173,1796,5030,52540,-,-,13042,575,20,-,-,12995,637,20,-,-,29137,1659,20,1158,3251,5295,2701,890,237,120,1758,4832,6327,127,428,180,324,71,49,46,84,803,381,15000,19.5,482,434,573,5145,14850,30.1,36,1468,1027,1002,218,3975,19184,3180
116,116,116,12924,5588,7336,762,1175,891,3898,3787,3173,46.9,48.7,45.9,6824,4809,1291,11646,432,373,226,247,1576,3227,101,161,23,1959,3685,681,221,115,9909,988,769,766,206,88.3,69.1,85.9,66.9,601,1577,1712,3456,515,577,3311,1098,272,187,69,33,7210,3385,3825,61.4,66.5,57.4,6855,6260,164,389,42,6069,513,1491,2543,281,1241,2155,1325,1170,330,37,896,801,141,905,390,2345,1357,610,515,691,18030,20000,17000,357,374,2345,1357,610,515,691,20000,20000,19500,669,818,1797,953,1255,198,185,980,-,213,362,1120,407,420,173,894,1347,1111,782,26,404,643,2540,2050,749,469,4998,1124,1695,1088,661,381,49,2.5,901,1418,444,85,150,518,1124,358,673,289,736,719,751,736,1094,30290,117,49,550,666,723,714,1077,37180,-,-,4973,82,23,-,-,4947,28,23,-,-,12764,137,23,184,816,2869,862,220,46,1,690,2709,1304,18,239,38,148,30,52,20,116,194,130,11500,25.3,33,198,194,935,12000,35.4,34,235,270,269,18,1256,9612,982
121L,121 - 124 and 133 - 135,121 - 124 及 133 - 135,18215,7546,10669,707,1580,1043,6109,5481,4002,46.6,49.5,44.2,9263,4624,4328,13793,903,503,1074,1942,2223,4171,129,237,40,3806,4516,800,646,67,12414,790,249,2833,1380,78.7,79.3,76.1,77.4,489,1600,1787,4539,1025,1025,6170,1053,484,201,82,6,10630,4597,6033,63.9,67.6,61.3,10153,8847,429,775,102,8062,876,1784,3545,276,1581,2810,2511,1177,631,117,1194,1508,205,1452,588,2479,1964,746,1075,1747,21000,25000,17500,434,548,2479,1964,746,1075,1747,24000,25000,22730,1554,1877,2239,803,1530,322,126,1702,-,169,428,1607,301,493,660,1471,1760,1651,1573,40,780,1079,3595,2671,1264,764,8234,3362,2132,1493,677,441,129,2.2,1273,1666,651,71,132,629,3362,450,1011,523,1229,1246,783,1225,2217,30330,275,174,951,1174,696,1204,2169,40040,-,-,8091,182,30,-,-,8024,180,30,-,-,17818,367,30,609,2166,3179,1746,346,158,30,829,3015,3786,2,274,328,159,5,24,22,78,332,209,15000,29,260,567,666,2623,13500,29.9,36,875,575,687,108,2267,10775,2381
131,131,131,26192,10892,15300,712,2313,1455,9828,7306,5290,44.2,45.7,42.7,13434,6419,6339,19376,1633,783,1666,2734,3299,5664,191,408,94,5505,6614,1135,823,146,17053,1900,251,4130,2271,75.7,81,73.1,78.6,741,2272,2534,6305,1590,987,9450,1287,1120,193,125,-,15981,6694,9287,66.9,69.3,65.3,15217,13387,736,1053,41,10975,1107,2800,4407,429,2232,3723,5249,1437,587,277,1778,2026,140,1953,667,3388,2472,1535,1670,3491,23000,29000,20000,433,560,3370,2472,1535,1670,3491,28000,29000,28000,2843,3005,3328,1244,1822,530,199,2236,10,258,724,2081,501,736,810,3046,2780,1932,2230,119,948,1317,5694,4427,1788,1043,12000,4689,3476,1950,1309,443,133,2.1,1918,2302,1152,65,111,848,4689,915,1308,736,1574,1236,1104,1697,4345,40000,271,188,1303,1088,1053,1644,4293,50040,-,-,11923,115,12,-,-,11889,99,12,-,-,25821,359,12,770,3319,4972,1832,709,386,12,1151,4028,6118,-,462,241,152,25,57,46,118,430,323,16000,26.4,131,638,690,4900,16500,29.9,37,1586,789,947,243,2626,15854,3594
132,132,132,15928,6765,9163,738,1599,932,5113,4940,3344,46.2,46.9,45.5,8951,4245,2732,12954,806,430,353,1385,1906,3515,169,219,59,2950,3988,772,646,105,11545,915,287,1802,851,82,78.1,79.3,76.2,603,1315,1740,3737,801,803,5330,1037,536,212,69,18,8923,3908,5015,62.3,66.6,59.3,8498,7542,271,667,18,7430,647,1770,3087,358,1568,1956,2488,1209,478,168,1032,936,231,835,569,2104,1848,698,831,1595,21000,25000,20000,216,503,2104,1848,698,831,1595,24000,25000,23000,1465,1413,2028,781,1197,258,184,1165,7,74,352,1483,284,553,583,1207,1630,1271,983,78,570,853,3414,2028,876,757,6573,1928,2141,1272,729,435,68,2.4,1032,1463,684,102,237,541,1928,586,754,446,923,864,529,903,2154,34400,118,205,683,789,517,874,2127,45040,-,-,6455,85,30,-,-,6462,81,30,-,-,15721,177,30,488,1317,2850,1481,386,43,8,653,2521,2942,35,222,200,87,7,86,52,100,188,133,11000,24,205,433,533,2006,13000,28,40,821,570,729,192,1665,9893,1537
140L,140 and 143,140 及 143,18784,6614,12170,543,2183,1188,6130,6180,3103,44.7,47,43.8,8995,2535,7254,11268,3634,771,1555,1556,1396,3993,85,74,15,3230,6379,775,496,158,9602,497,52,7031,909,63.1,93.4,60.7,91.8,224,562,999,4089,1272,755,8700,719,1146,338,158,-,11468,3785,7683,69.1,68,69.6,11222,9807,738,532,145,7562,776,2668,2678,211,1229,2403,1838,1139,311,19,548,4741,223,3967,659,738,594,902,859,3358,20000,77500,5700,132,152,708,594,902,859,3358,60000,81000,41000,2328,2251,1414,381,342,12,9,4485,-,94,199,874,103,182,325,1900,1661,1336,4540,8,400,1009,3649,2889,1835,1440,5349,885,907,1092,1078,736,651,3.4,1094,1940,299,55,106,492,885,478,268,188,242,278,167,402,3804,105540,16,25,75,182,111,344,3401,136240,-,-,5217,156,1,-,-,5206,142,1,-,-,18327,456,1,50,306,548,941,1569,1934,1,903,1991,2011,-,142,302,68,26,-,-,-,99,710,32000,18.9,162,27,71,2053,50000,33.6,135,1686,466,170,146,2418,10763,2455
141,141,141,20331,8191,12140,675,2419,1309,6103,6416,4084,45.9,47.8,44.9,10706,3231,6394,14124,2698,748,1127,1634,1888,4809,153,86,55,2876,6567,741,566,171,12511,583,183,5355,740,71.1,90.2,69.3,88.8,316,954,1133,4397,1098,651,9363,1493,870,227,132,55,11828,4822,7006,66,69,64.2,11290,9877,721,654,38,9041,877,2667,3727,323,1447,3057,1941,1320,352,130,525,3689,276,3222,600,1197,1151,674,1138,3270,21250,56000,7500,206,222,1180,1151,674,1138,3270,45000,56500,38000,2218,2373,1849,810,359,63,19,3599,-,100,267,1442,264,143,416,1691,1950,1483,3534,-,528,990,3480,3373,1539,1380,6168,1040,1321,1419,1099,680,609,3.2,1335,2087,385,74,323,525,1040,399,439,211,476,484,354,464,3740,84320,96,30,247,384,222,384,3463,107700,-,-,6070,435,42,-,-,6052,74,42,-,-,19671,618,42,68,319,863,1741,1692,1485,-,1494,2794,1429,-,229,222,207,13,18,12,20,273,951,30000,24,83,102,41,1425,33000,26.1,92,981,449,545,164,2231,13062,1940
142,142,142,38287,14926,23361,639,4587,2663,13265,11862,5910,43,44.9,42.2,19565,5762,12960,24655,4921,1046,3934,3731,3650,8706,185,167,86,6636,11563,1443,1020,244,21117,1701,366,11607,1870,68.7,92.3,67.7,90.7,296,1429,1757,7924,2249,1140,18905,2384,1804,351,319,40,22757,8723,14034,67.5,68.2,67.1,21994,18989,1714,1044,247,16293,1451,5542,5550,654,3096,7080,3428,2350,707,233,1008,6676,512,5951,869,1965,1562,1372,1791,8237,30440,70000,12000,589,177,1956,1562,1372,1791,8237,60000,70000,50000,5500,4533,3729,1195,556,190,48,6232,11,411,421,2169,516,291,688,5043,3668,2386,6324,77,1065,1904,6885,5680,3490,2970,12870,2621,3321,2576,1998,1627,727,2.9,3233,3950,1034,159,373,578,2621,922,753,489,973,753,450,1105,8347,95060,122,80,590,568,385,922,8073,116030,-,-,12855,87,7,-,-,12796,67,7,-,-,38190,87,10,102,1344,2281,3560,2944,2639,-,3012,4406,4610,-,367,475,286,12,7,9,87,560,2051,27640,21.5,171,105,184,4625,35000,29.4,77,2301,637,949,263,5975,21684,4859
144,144,144,32202,12364,19838,623,3992,1690,11039,9420,6061,44.2,47.2,43.2,18408,4830,8964,22782,4114,1217,2026,2063,2601,7235,328,338,33,4829,10336,1441,911,158,20322,1109,345,7501,1450,73.5,90.3,72.3,88.7,500,1083,1975,7410,1537,1513,14192,1875,1670,421,145,17,18326,6818,11508,65,64.7,65.1,17839,15698,1074,980,87,14363,1386,4550,5775,496,2156,2570,5161,2033,524,312,953,5895,391,5045,906,1696,1660,1394,1764,5287,25000,50000,9690,270,395,1681,1660,1394,1764,5287,50000,50000,48000,4241,3015,2992,1075,720,182,136,5472,6,396,418,1899,539,283,840,3190,2439,2215,5581,39,799,1416,5780,5439,2532,1873,11432,2863,3106,2147,1585,1119,612,2.8,2408,3156,837,207,193,728,2863,1040,1161,548,973,618,905,1071,6156,67920,166,57,537,442,719,881,5812,86340,-,-,11395,55,23,-,-,11377,32,23,-,-,31897,282,23,205,1588,2317,2833,2636,1841,12,1952,4439,3934,-,402,705,324,29,-,27,28,417,1127,25000,20,308,127,325,3879,25500,35,71,2639,1090,927,287,3893,18823,3079
145,145,145,11832,4523,7309,619,1353,579,4113,3629,2158,44.5,46.4,43.6,6686,1755,3391,8668,1591,356,658,559,971,2714,69,68,43,1604,4011,410,528,61,7694,436,86,2814,403,73.9,91.3,72.7,89.6,32,472,821,2890,479,377,5408,595,701,105,92,43,6840,2564,4276,65.3,66.3,64.7,6738,5803,419,453,63,5094,510,1614,2133,166,671,990,1847,755,227,16,535,2251,117,1987,295,688,466,409,861,1969,26250,55000,8670,151,109,678,466,409,861,1969,50000,55000,43000,1770,1319,812,327,265,25,79,2141,-,108,150,816,157,32,311,1170,879,954,2097,64,330,547,2051,2071,831,908,4041,812,1211,701,621,436,260,2.9,937,1218,286,31,125,252,812,380,294,213,333,319,301,375,2206,70000,22,33,188,249,218,333,2117,102240,-,-,4050,11,1,-,-,4029,11,1,-,-,11781,50,1,24,458,1050,945,723,840,1,935,1530,1335,8,173,60,148,19,10,-,11,210,537,26000,18.9,36,74,59,1234,24800,27,68,784,546,260,45,1699,7049,1050
146L,146 - 147,146 - 147,16900,6943,9957,697,1699,974,5192,4802,4233,47.6,48.8,47.1,8899,3831,4170,13106,1362,623,757,1052,2040,3667,174,170,76,2958,4187,1151,688,90,11854,742,331,2720,690,79.5,80.2,77.2,76.5,415,1165,2058,4249,893,473,5948,821,594,159,73,-,9776,4269,5507,64.3,69.7,60.7,9366,8034,411,881,40,7534,633,1927,3424,318,1232,2232,2614,1123,412,91,1021,1709,164,1870,486,2179,1622,706,1017,1446,20000,26000,14000,487,437,2161,1622,706,1017,1446,23690,26190,21000,1462,1551,2343,860,1025,111,167,1847,-,136,296,1659,339,209,532,1260,1517,1628,1785,5,860,1007,3388,2356,937,818,6675,1842,2116,1235,949,401,132,2.5,1032,1596,667,42,149,773,1842,574,859,367,1099,823,577,811,2139,33400,169,187,784,706,506,744,2116,46500,-,-,6699,52,29,-,-,6603,43,29,-,-,16747,124,29,198,1487,2374,1740,594,253,29,563,2799,2975,2,240,96,132,44,8,3,22,170,184,16770,21.4,141,558,390,1984,14800,30.7,48,1010,473,483,96,1932,10766,1624
148L,148 - 149,148 - 149,17206,7207,9999,721,1534,1218,4224,5863,4367,49.6,50.5,49.1,10241,3828,3137,14193,1425,453,467,668,2119,3896,149,256,14,2955,4641,1090,475,77,13136,367,265,2756,326,82.8,79.1,80.6,76.7,545,1538,1861,4851,676,660,5541,825,716,199,251,39,9130,3965,5165,58.3,61.6,55.9,8647,7526,583,494,44,8559,814,2387,3715,275,1368,1544,2469,1104,324,74,788,2218,126,2195,510,1713,1016,565,691,1913,18500,28000,10000,309,433,1692,1016,565,691,1913,26000,30000,24000,1478,1571,1356,726,864,154,156,2342,-,143,400,1178,339,373,324,1140,1505,1125,2106,14,539,693,2950,2525,1086,854,5799,1056,1618,1331,920,574,300,2.9,1019,1936,781,17,162,649,1056,179,406,468,1148,605,543,488,2141,34620,89,108,719,551,498,488,2004,47520,2514,-,3281,45,-,2514,-,3285,-,-,6221,-,10735,250,-,1080,1034,1358,560,692,1075,-,666,1320,3368,-,160,285,56,16,20,8,37,122,407,26250,25.4,1567,976,163,947,2430,14.5,39,1246,478,208,34,1258,12649,983
151,151,151,45562,18577,26985,688,4802,2921,13088,14209,10542,47.6,48.4,47.4,26737,11113,7712,38552,3012,1697,627,1674,4329,10825,258,569,132,6852,13651,2290,1678,176,34960,1947,1557,4460,1299,84.6,83.3,83,81.3,817,2364,4568,11702,2457,1780,17072,2571,2389,585,216,60,24703,9873,14830,60.6,61.3,60.2,23718,20605,1269,1743,101,21844,1983,6005,9650,663,3543,3794,7049,3584,1128,424,2145,5092,502,5183,944,4155,3514,2222,3254,4345,21250,31000,17000,879,750,4148,3514,2222,3254,4345,30000,31000,29000,4313,4745,4272,2205,2158,448,233,5334,10,664,933,3461,622,716,939,3190,4278,3876,4971,68,1163,2112,8818,6882,2356,2387,16083,3284,4594,3287,2696,1493,729,2.8,2900,5006,1596,379,565,1490,3284,863,1776,859,1671,1601,1390,2321,6465,46770,258,143,1183,1414,1136,2092,6256,60000,-,-,16081,48,22,-,-,16015,46,22,-,-,45459,81,22,366,1741,4719,4973,3374,898,12,3221,7613,4573,-,527,149,304,152,76,90,96,1406,1097,17500,20.2,64,261,550,3847,19500,31.4,56,3307,963,1108,109,3739,31483,3514
152,152,152,19356,7629,11727,651,2688,1039,5692,6164,3773,45.9,47.6,44.7,12265,2502,4589,15077,2677,675,499,428,1455,4572,101,88,14,2564,6484,793,527,70,13917,579,252,3565,396,77.8,91.7,76.7,90.7,95,624,1174,4369,1212,645,8549,1196,1497,188,44,22,10451,3915,6536,62.7,62.8,62.6,10082,8897,639,524,22,9274,913,3213,3605,398,1145,995,3135,1020,241,111,642,3666,272,3457,360,755,822,549,948,3169,22000,60000,5500,190,217,755,822,549,948,3169,53000,60000,45000,2239,2139,1353,559,236,54,14,3488,-,169,178,1007,100,87,368,1589,1606,1414,3547,17,350,779,3330,3300,1362,961,5606,614,1110,1323,1159,887,513,3.4,1212,2474,418,84,275,253,614,276,383,127,271,277,309,594,3645,88340,25,-,106,180,206,441,3277,106880,-,-,5530,103,-,-,-,5525,81,-,-,-,19227,129,-,38,76,627,1839,1775,1237,14,1331,2706,1087,15,228,239,135,20,9,-,10,257,900,28750,19.2,32,88,38,1183,38000,26.3,92,1549,317,340,54,1786,13040,1623
153,153,153,70027,30108,39919,754,7574,4388,20318,20557,17190,47.2,47.8,46.7,38505,23503,8019,62463,3277,1943,388,1956,7434,17120,784,757,262,10165,19867,3549,2165,350,53361,2696,5852,4278,1764,87.6,76.1,85.5,73.5,2083,5679,8608,18512,4102,2735,20734,5123,2828,871,501,114,37282,16444,20838,59.7,62.4,57.7,34956,31481,1027,2265,183,35071,2852,9344,14601,1325,6949,6642,10611,5633,1903,651,3856,5112,548,5910,1659,9040,5570,3787,4142,4665,20000,23000,16800,1578,1538,9025,5570,3787,4142,4665,22000,23000,21250,5005,5581,7284,4334,4573,981,546,6645,7,742,1859,6117,1380,1710,1420,4496,6001,5664,5429,138,2326,2938,12562,10861,3344,2925,25953,6023,7841,5434,3966,1854,835,2.6,5010,7604,2876,296,915,2223,6023,1006,3345,1702,3637,3322,2856,3613,7478,32440,524,449,2752,3050,2599,3345,7265,42810,-,-,25956,31,22,-,-,25909,22,22,-,-,69739,266,22,1550,3243,8907,7846,3335,1061,11,5017,11176,8388,114,1005,253,559,119,259,339,232,2358,1151,14300,20.7,327,1908,706,5814,14000,34.3,46,2696,1226,1997,315,7770,48577,5414
154,154,154,11131,4943,6188,799,709,865,2689,4012,2856,52.1,52.9,51.8,6569,3234,1328,9927,386,509,26,283,1499,2586,175,248,10,1538,3116,799,431,20,9470,158,529,738,122,87.2,73.3,84.2,70.5,422,1426,1669,3168,569,677,2491,529,313,157,113,72,5994,2804,3190,57.5,62.1,54,5658,5163,98,397,-,5473,437,1010,2815,227,984,953,1443,879,360,55,906,1021,41,1163,400,1877,908,284,514,512,16000,19750,13500,328,344,1877,908,284,514,512,18500,19750,18000,639,506,1146,711,752,339,220,1345,-,184,410,796,388,338,160,635,832,836,1062,17,448,495,1629,1853,658,575,3944,691,1190,1044,502,350,167,2.8,715,1034,464,78,191,530,691,241,312,396,790,538,430,512,966,28060,7,87,498,463,414,466,942,38790,1722,931,1200,89,2,1722,931,1200,89,2,4866,2512,3609,142,2,264,787,1162,956,495,278,2,263,1439,2085,-,120,37,45,-,-,-,53,62,103,15500,23.1,812,969,36,305,2330,11.7,42,355,100,201,34,719,8953,655
155,155,155,18755,8164,10591,771,1574,1119,5208,6098,4756,49.6,49.8,49.5,10946,5728,2081,17040,639,445,130,501,2251,4606,116,330,29,2741,5469,1071,463,105,15344,795,802,875,507,89.1,73,87.1,70.4,529,1914,2312,5032,1066,819,5509,1247,596,185,80,27,10530,4747,5783,61.3,64.7,58.7,10082,8901,325,839,17,8673,669,2064,4222,333,1385,2398,3047,1673,530,150,1043,1112,129,1589,449,3091,1745,888,1208,1095,19000,21000,16000,649,414,3091,1745,888,1208,1095,20000,21000,20000,1564,1494,1923,1481,1445,281,234,1660,-,202,398,1824,474,591,601,1091,2006,1510,1341,44,787,853,3714,3216,902,610,7370,1968,2193,1554,1066,450,139,2.5,1538,1972,660,132,232,596,1968,272,968,416,1115,961,755,1113,2042,31650,208,75,890,896,688,1065,2008,41500,-,-,7417,-,14,-,-,7356,-,14,-,-,18736,-,19,134,1098,3570,1622,701,245,-,1042,3728,2272,-,310,18,155,45,42,25,117,419,239,13300,23.5,51,355,199,1685,14000,28.8,40,492,258,401,67,2471,13520,1120
